season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,74,Kennesaw St,FCS,1496,12,2,14,0.857,12-2,Jacksonville St,1423.2,870.6,NA,2026-05-24T09:10:53Z,9607.7
2017,75,Tulane,Independent,1476.5,5,7,12,0.417,5-7,Army,1754.4,1500,NA,2026-05-24T09:10:53Z,6146.7
2017,76,Syracuse,ACC,1469.1,4,8,12,0.333,4-8,Clemson,2274.1,1669.6,NA,2026-05-24T09:10:53Z,5528.6
2017,77,SMU,AAC,1468.5,7,6,13,0.538,7-6,Tulane,1476.5,1529,NA,2026-05-24T09:10:53Z,8611
2017,78,Marshall,C-USA,1466.9,8,5,13,0.615,8-5,Mid Tennessee,1388.2,1275.6,NA,2026-05-24T09:10:53Z,8930
2017,79,North Texas,C-USA,1461.6,9,5,14,0.643,9-5,Army,1754.4,1361.8,NA,2026-05-24T09:10:53Z,10347.8
2017,80,Vanderbilt,SEC,1449.8,5,7,12,0.417,5-7,Kansas State,1728.7,1594.8,NA,2026-05-24T09:10:53Z,6094.9
2017,81,FIU,C-USA,1435.7,8,5,13,0.615,8-5,Tulane,1476.5,1268.1,NA,2026-05-24T09:10:53Z,8052.8
2017,82,N Illinois,MAC,1424.4,8,5,13,0.615,8-5,Nebraska,1406,1318,NA,2026-05-24T09:10:53Z,8959.9
2017,83,Jacksonville St,FCS,1423.2,10,2,12,0.833,10-2,Tennessee St,1151.6,900.6,NA,2026-05-24T09:10:53Z,7581.1
2017,84,Sam Houston,FCS,1415,12,2,14,0.857,12-2,Kennesaw St,1496,844.8,NA,2026-05-24T09:10:53Z,8752
2017,85,Colorado,Pac-12,1410.5,5,7,12,0.417,5-7,California,1521.5,1434.3,NA,2026-05-24T09:10:53Z,5192.8
2017,86,Arkansas,SEC,1408.5,4,8,12,0.333,4-8,Ole Miss,1633.9,1649.4,NA,2026-05-24T09:10:53Z,4034.2
2017,87,Nebraska,Big Ten,1406,4,8,12,0.333,4-8,Purdue,1822.8,1746.2,NA,2026-05-24T09:10:53Z,5619.2
2017,88,Buffalo,MAC,1398.4,6,6,12,0.5,6-6,FAU,1810.2,1257.3,NA,2026-05-24T09:10:53Z,6406.2
2017,89,Cent Michigan,MAC,1397,8,5,13,0.615,8-5,Ohio,1554.1,1276,NA,2026-05-24T09:10:53Z,8924.5
2017,90,Mid Tennessee,C-USA,1388.2,7,6,13,0.538,7-6,Syracuse,1469.1,1256.2,NA,2026-05-24T09:10:53Z,7647.7
2017,91,UNC,ACC,1385.5,3,9,12,0.25,3-9,Pitt,1678.4,1640,NA,2026-05-24T09:10:53Z,3422.9
2017,92,Rutgers,Big Ten,1377.4,4,8,12,0.333,4-8,Purdue,1822.8,1596.7,NA,2026-05-24T09:10:53Z,4667.3
2017,93,Air Force,Mountain West,1340.3,5,7,12,0.417,5-7,Colorado State,1293.3,1375.9,NA,2026-05-24T09:10:53Z,5102.8
2017,94,W Illinois,FCS,1333.1,2,1,3,0.667,2-1,C. Carolina,987.5,1156.1,NA,2026-05-24T09:10:53Z,1713.6
2017,95,Cent Arkansas,FCS,1320.9,1,1,2,0.5,1-1,Sam Houston,1415,1571.8,NA,2026-05-24T09:10:53Z,1415
2017,96,Akron,MAC,1317.7,7,7,14,0.5,7-7,Ohio,1554.1,1408.5,NA,2026-05-24T09:10:53Z,7784.6
2017,97,W Michigan,MAC,1316.6,6,6,12,0.5,6-6,Buffalo,1398.4,1286.6,NA,2026-05-24T09:10:53Z,5743.7
