season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2009,173,Motherwell,Scottish Premiership,1430,13,16,29,0.448,13-16,Hearts,1540.3,1478.8,2026-05-20T21:13:26Z,9,SCO
2009,174,Ascoli,Serie B,1429.5,14,18,32,0.438,14-18,Brescia,1576.4,1513.9,2026-05-20T21:13:26Z,10,ITA
2009,175,Sampdoria,Serie A,1428.5,11,14,25,0.44,11-14,Milan,1739.8,1470.3,2026-05-20T21:13:26Z,13,ITA
2009,176,Blackburn,Premier League,1426.9,10,17,27,0.37,10-17,Everton,1634.6,1561,2026-05-20T21:13:26Z,11,ENG
2009,177,Derby,Championship,1425.8,14,20,34,0.412,14-20,Sheffield United,1701.3,1502.4,2026-05-20T21:13:26Z,12,ENG
2009,178,Bastia,Ligue 2,1425.3,13,16,29,0.448,13-16,Montpellier,1652.2,1507.2,2026-05-20T21:13:26Z,9,FRA
2009,179,Valenciennes,Ligue 1,1423.4,10,14,24,0.417,10-14,Lyon,1668.9,1488.2,2026-05-20T21:13:26Z,14,FRA
2009,180,Kilmarnock,Scottish Premiership,1422.9,12,18,30,0.4,12-18,Hearts,1540.3,1508.4,2026-05-20T21:13:26Z,8,SCO
2009,181,Amiens,Ligue 2,1422.8,9,13,22,0.409,9-13,Montpellier,1652.2,1490.5,2026-05-20T21:13:26Z,16,FRA
2009,182,Lazio,Serie A,1422.5,15,18,33,0.455,15-18,Genoa,1639.2,1501.8,2026-05-20T21:13:26Z,5,ITA
2009,183,Kortrijk,Pro League,1421.5,9,14,23,0.391,9-14,Waregem,1620.9,1543.9,2026-05-20T21:13:26Z,11,BEL
2009,184,Ath Bilbao,La Liga,1421.2,12,18,30,0.4,12-18,Ath Madrid,1629.2,1524.8,2026-05-20T21:13:26Z,8,ESP
2009,185,Getafe,La Liga,1419.9,10,16,26,0.385,10-16,Sevilla,1643.8,1498.6,2026-05-20T21:13:26Z,12,ESP
2009,186,Hannover,2. Bundesliga,1419.8,10,14,24,0.417,10-14,Bayern Munich,1730,1515.8,2026-05-20T21:13:26Z,10,GER
2009,187,Nancy,Ligue 1,1418.8,10,16,26,0.385,10-16,Bordeaux,1780.6,1502.5,2026-05-20T21:13:26Z,12,FRA
2009,188,Rimini,Serie B,1417.9,13,18,31,0.419,13-18,Brescia,1576.4,1484.7,2026-05-20T21:13:26Z,11,ITA
2009,189,Pisa,Serie B,1417.8,12,18,30,0.4,12-18,Parma,1841.7,1515.4,2026-05-20T21:13:26Z,12,ITA
2009,190,Crystal Palace,Championship,1415.3,15,19,34,0.441,15-19,Preston,1618.7,1484.9,2026-05-20T21:13:26Z,12,ENG
2009,191,Sparta,Eredivisie,1415.2,9,17,26,0.346,9-17,Ajax,1650.8,1526.8,2026-05-20T21:13:26Z,8,NED
2009,192,Las Palmas,La Liga 2,1413.6,10,15,25,0.4,10-15,Castellon,1557,1496.3,2026-05-20T21:13:26Z,17,ESP
2009,193,Barnsley,Championship,1413,13,20,33,0.394,13-20,Burnley,1602.5,1504.7,2026-05-20T21:13:26Z,13,ENG
2009,194,Genclerbirligi,Süper Lig,1411.3,10,16,26,0.385,10-16,Fenerbahce,1685.7,1536.5,2026-05-20T21:13:26Z,8,TUR
2009,195,Valladolid,La Liga,1410.7,12,19,31,0.387,12-19,Sevilla,1643.8,1520.9,2026-05-20T21:13:26Z,7,ESP
2009,196,Napoli,Serie A,1409,12,16,28,0.429,12-16,Inter,1837.6,1513.9,2026-05-20T21:13:26Z,10,ITA
2009,197,Vannes,Ligue 2,1407.5,14,15,29,0.483,14-15,Montpellier,1652.2,1496.8,2026-05-20T21:13:26Z,9,FRA
2009,198,Almeria,La Liga,1406.7,13,18,31,0.419,13-18,Villarreal,1565.3,1503,2026-05-20T21:13:26Z,7,ESP
2009,199,Dender,Pro League,1405.1,9,17,26,0.346,9-17,Waregem,1620.9,1508.3,2026-05-20T21:13:26Z,8,BEL
2009,200,Ajaccio,Ligue 2,1404.3,11,16,27,0.407,11-16,Metz,1628.2,1517.5,2026-05-20T21:13:26Z,11,FRA
2009,201,Girona,La Liga 2,1404.3,11,15,26,0.423,11-15,Hercules,1785.2,1509.1,2026-05-20T21:13:26Z,16,ESP
2009,202,FC Koln,2. Bundesliga,1402.2,11,17,28,0.393,11-17,Bayern Munich,1730,1527.5,2026-05-20T21:13:26Z,6,GER
2009,203,Grenoble,Ligue 1,1401.2,10,14,24,0.417,10-14,Toulouse,1715.5,1530.1,2026-05-20T21:13:26Z,14,FRA
2009,204,Ancona,Serie B,1399.3,14,21,35,0.4,14-21,Parma,1841.7,1512.3,2026-05-20T21:13:26Z,7,ITA
2009,205,St Etienne,Ligue 1,1396,11,20,31,0.355,11-20,Paris SG,1586.4,1485.6,2026-05-20T21:13:26Z,7,FRA
2009,206,Chievo,Serie A,1394.9,8,16,24,0.333,8-16,Udinese,1616.8,1522.1,2026-05-20T21:13:26Z,14,ITA
2009,207,Bolton,Premier League,1394,11,19,30,0.367,11-19,Man City,1491.9,1543.4,2026-05-20T21:13:26Z,8,ENG
2009,208,Stoke,Premier League,1393.2,12,17,29,0.414,12-17,Arsenal,1714,1498.3,2026-05-20T21:13:26Z,9,ENG
2009,209,Konyaspor,Süper Lig,1391.4,10,16,26,0.385,10-16,Trabzonspor,1648.4,1487.9,2026-05-20T21:13:26Z,8,TUR
2009,210,Catania,Serie A,1390.5,12,19,31,0.387,12-19,Genoa,1639.2,1511.1,2026-05-20T21:13:26Z,7,ITA
2009,211,Den Haag,Eredivisie,1387.8,8,18,26,0.308,8-18,AZ Alkmaar,1838.6,1524.3,2026-05-20T21:13:26Z,8,NED
2009,212,Bologna,Serie A,1387.5,9,19,28,0.321,9-19,Milan,1739.8,1536.4,2026-05-20T21:13:26Z,10,ITA
2009,213,Coventry,Championship,1385.4,13,18,31,0.419,13-18,Birmingham,1678.4,1502.3,2026-05-20T21:13:26Z,15,ENG
2009,214,Portsmouth,Premier League,1381.3,10,17,27,0.37,10-17,Everton,1634.6,1561.4,2026-05-20T21:13:26Z,11,ENG
2009,215,NAC Breda,Eredivisie,1380.1,13,15,28,0.464,13-15,AZ Alkmaar,1838.6,1512,2026-05-20T21:13:26Z,6,NED
2009,216,Norwich,Championship,1380,12,24,36,0.333,12-24,Sheffield United,1701.3,1493.6,2026-05-20T21:13:26Z,10,ENG
2009,217,Caen,Ligue 1,1377.6,8,17,25,0.32,8-17,Toulouse,1715.5,1517.5,2026-05-20T21:13:26Z,13,FRA
2009,218,Hamilton,Scottish Premiership,1376.5,12,21,33,0.364,12-21,Hearts,1540.3,1513.3,2026-05-20T21:13:26Z,5,SCO
2009,219,Alaves,La Liga 2,1374,11,21,32,0.344,11-21,Sociedad,1603.5,1527.2,2026-05-20T21:13:26Z,10,ESP
2009,220,Troyes,Ligue 2,1372.1,9,18,27,0.333,9-18,Metz,1628.2,1505.6,2026-05-20T21:13:26Z,11,FRA
2009,221,Wigan,Premier League,1370.3,12,17,29,0.414,12-17,Everton,1634.6,1517.7,2026-05-20T21:13:26Z,9,ENG
