season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2020,71,Almeria,La Liga 2,1576.4,17,12,29,0.586,17-12,Vallecano,1603.8,1495.8,2026-05-21T19:19:50Z,13,ESP
2020,72,Valenciennes,Ligue 2,1576.3,11,8,19,0.579,11-8,Lens,1644.7,1488.2,2026-05-21T19:19:50Z,9,FRA
2020,73,Famalicao,Primeira Liga,1575.9,14,8,22,0.636,14-8,Porto,1924.5,1491.6,2026-05-21T19:19:50Z,12,POR
2020,74,Swansea,Championship,1575.7,18,12,30,0.6,18-12,Leeds,1730.6,1504.9,2026-05-21T19:19:50Z,16,ENG
2020,75,Reims,Ligue 1,1572.6,10,7,17,0.588,10-7,Paris SG,1941.7,1507.5,2026-05-21T19:19:50Z,11,FRA
2020,76,Hoffenheim,2. Bundesliga,1571.7,15,12,27,0.556,15-12,Bayern Munich,1914.4,1516.8,2026-05-21T19:19:50Z,7,GER
2020,77,Villarreal,La Liga,1570.9,18,14,32,0.562,18-14,Sevilla,1748.6,1468.3,2026-05-21T19:19:50Z,6,ESP
2020,78,Millwall,Championship,1568.6,17,12,29,0.586,17-12,Leeds,1730.6,1507.4,2026-05-21T19:19:50Z,17,ENG
2020,79,Fuenlabrada,La Liga 2,1564.6,15,12,27,0.556,15-12,Huesca,1593.3,1499.4,2026-05-21T19:19:50Z,15,ESP
2020,80,Getafe,La Liga,1563.4,14,12,26,0.538,14-12,Granada,1553.1,1557.5,2026-05-21T19:19:50Z,12,ESP
2020,81,Standard,Pro League,1562.6,14,8,22,0.636,14-8,Antwerp,1654.7,1436.2,2026-05-21T19:19:50Z,7,BEL
2020,82,Leicester,Premier League,1558.1,18,12,30,0.6,18-12,Tottenham,1625.5,1500.6,2026-05-21T19:19:50Z,8,ENG
2020,83,Aberdeen,Scottish Premiership,1558,12,9,21,0.571,12-9,Livingston,1525.9,1506,2026-05-21T19:19:50Z,9,SCO
2020,84,Fenerbahce,Süper Lig,1557.9,15,11,26,0.577,15-11,Buyuksehyr,1730.4,1495.2,2026-05-21T19:19:50Z,8,TUR
2020,85,Wolfsburg,2. Bundesliga,1556,13,11,24,0.542,13-11,M'gladbach,1673.4,1518.9,2026-05-21T19:19:50Z,10,GER
2020,86,Cadiz,La Liga 2,1555.3,19,11,30,0.633,19-11,Huesca,1593.3,1486.3,2026-05-21T19:19:50Z,12,ESP
