date,home,away,winner,loser,winner_pts,loser_pts,end_type
2015-11-03,Toronto Maple Leafs,Dallas Stars,Toronto Maple Leafs,Dallas Stars,4,1,REG
2015-11-03,Chicago Blackhawks,Los Angeles Kings,Chicago Blackhawks,Los Angeles Kings,4,2,REG
2015-11-03,Vancouver Canucks,Philadelphia Flyers,Vancouver Canucks,Philadelphia Flyers,4,1,REG
2015-11-04,Boston Bruins,Dallas Stars,Dallas Stars,Boston Bruins,5,3,REG
2015-11-04,New York Islanders,New Jersey Devils,New York Islanders,New Jersey Devils,2,1,REG
2015-11-04,New York Rangers,Washington Capitals,New York Rangers,Washington Capitals,5,2,REG
2015-11-04,Montreal Canadiens,Ottawa Senators,Ottawa Senators,Montreal Canadiens,2,1,OT
2015-11-04,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,Tampa Bay Lightning,2,1,REG
2015-11-04,St. Louis Blues,Los Angeles Kings,Los Angeles Kings,St. Louis Blues,3,0,REG
2015-11-04,Colorado Avalanche,Calgary Flames,Colorado Avalanche,Calgary Flames,6,3,REG
2015-11-04,Edmonton Oilers,Philadelphia Flyers,Edmonton Oilers,Philadelphia Flyers,4,2,REG
2015-11-04,San Jose Sharks,Columbus Blue Jackets,Columbus Blue Jackets,San Jose Sharks,5,2,REG
2015-11-05,Toronto Maple Leafs,Winnipeg Jets,Winnipeg Jets,Toronto Maple Leafs,4,2,REG
2015-11-05,Chicago Blackhawks,St. Louis Blues,St. Louis Blues,Chicago Blackhawks,6,5,OT
2015-11-05,Vancouver Canucks,Pittsburgh Penguins,Pittsburgh Penguins,Vancouver Canucks,3,2,REG
2015-11-05,Anaheim Ducks,Florida Panthers,Anaheim Ducks,Florida Panthers,3,2,SO
2015-11-06,Buffalo Sabres,Tampa Bay Lightning,Tampa Bay Lightning,Buffalo Sabres,4,1,REG
2015-11-06,Washington Capitals,Boston Bruins,Washington Capitals,Boston Bruins,4,1,REG
2015-11-06,Montreal Canadiens,New York Islanders,Montreal Canadiens,New York Islanders,4,1,REG
2015-11-06,Ottawa Senators,Winnipeg Jets,Ottawa Senators,Winnipeg Jets,3,2,SO
2015-11-06,Minnesota Wild,Nashville Predators,Nashville Predators,Minnesota Wild,3,2,REG
2015-11-06,Calgary Flames,Philadelphia Flyers,Calgary Flames,Philadelphia Flyers,2,1,OT
2015-11-06,Arizona Coyotes,Colorado Avalanche,Arizona Coyotes,Colorado Avalanche,4,2,REG
2015-11-06,Los Angeles Kings,Columbus Blue Jackets,Columbus Blue Jackets,Los Angeles Kings,3,2,REG
2015-11-06,San Jose Sharks,Florida Panthers,San Jose Sharks,Florida Panthers,5,2,REG
2015-11-07,Toronto Maple Leafs,Detroit Red Wings,Detroit Red Wings,Toronto Maple Leafs,2,1,OT
2015-11-07,New Jersey Devils,Chicago Blackhawks,New Jersey Devils,Chicago Blackhawks,4,2,REG
2015-11-07,Carolina Hurricanes,Dallas Stars,Dallas Stars,Carolina Hurricanes,4,1,REG
2015-11-07,Colorado Avalanche,New York Rangers,New York Rangers,Colorado Avalanche,2,1,REG
2015-11-07,Edmonton Oilers,Pittsburgh Penguins,Pittsburgh Penguins,Edmonton Oilers,2,1,REG
2015-11-07,Anaheim Ducks,Columbus Blue Jackets,Anaheim Ducks,Columbus Blue Jackets,4,2,REG
2015-11-07,Buffalo Sabres,Vancouver Canucks,Buffalo Sabres,Vancouver Canucks,3,2,REG
2015-11-07,Los Angeles Kings,Florida Panthers,Los Angeles Kings,Florida Panthers,4,1,REG
2015-11-08,Montreal Canadiens,Boston Bruins,Montreal Canadiens,Boston Bruins,4,2,REG
2015-11-08,Washington Capitals,Toronto Maple Leafs,Washington Capitals,Toronto Maple Leafs,3,2,SO
2015-11-08,Carolina Hurricanes,Ottawa Senators,Carolina Hurricanes,Ottawa Senators,3,2,OT
2015-11-08,Winnipeg Jets,Philadelphia Flyers,Philadelphia Flyers,Winnipeg Jets,3,0,REG
2015-11-08,Nashville Predators,St. Louis Blues,St. Louis Blues,Nashville Predators,4,0,REG
2015-11-08,Arizona Coyotes,New York Rangers,New York Rangers,Arizona Coyotes,4,1,REG
2015-11-08,Calgary Flames,Pittsburgh Penguins,Calgary Flames,Pittsburgh Penguins,5,2,REG
2015-11-08,Detroit Red Wings,Dallas Stars,Dallas Stars,Detroit Red Wings,4,1,REG
2015-11-08,New Jersey Devils,Vancouver Canucks,New Jersey Devils,Vancouver Canucks,4,3,OT
2015-11-08,New York Islanders,Boston Bruins,Boston Bruins,New York Islanders,2,1,REG
2015-11-09,Chicago Blackhawks,Edmonton Oilers,Chicago Blackhawks,Edmonton Oilers,4,2,REG
2015-11-10,Anaheim Ducks,Arizona Coyotes,Arizona Coyotes,Anaheim Ducks,4,3,OT
2015-11-11,New Jersey Devils,St. Louis Blues,St. Louis Blues,New Jersey Devils,2,0,REG
2015-11-11,New York Rangers,Carolina Hurricanes,New York Rangers,Carolina Hurricanes,3,0,REG
2015-11-11,Philadelphia Flyers,Colorado Avalanche,Colorado Avalanche,Philadelphia Flyers,4,0,REG
2015-11-11,Columbus Blue Jackets,Vancouver Canucks,Vancouver Canucks,Columbus Blue Jackets,5,3,REG
2015-11-11,Tampa Bay Lightning,Buffalo Sabres,Buffalo Sabres,Tampa Bay Lightning,4,1,REG
2015-11-11,Florida Panthers,Calgary Flames,Florida Panthers,Calgary Flames,4,3,REG
2015-11-11,Nashville Predators,Ottawa Senators,Nashville Predators,Ottawa Senators,7,5,REG
2015-11-11,Minnesota Wild,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,5,3,REG
2015-11-11,Dallas Stars,Toronto Maple Leafs,Toronto Maple Leafs,Dallas Stars,3,2,REG
2015-11-11,Los Angeles Kings,Arizona Coyotes,Arizona Coyotes,Los Angeles Kings,3,2,REG
2015-11-11,San Jose Sharks,New York Islanders,New York Islanders,San Jose Sharks,4,2,REG
2015-11-12,Pittsburgh Penguins,Montreal Canadiens,Pittsburgh Penguins,Montreal Canadiens,4,3,SO
2015-11-12,Anaheim Ducks,Edmonton Oilers,Edmonton Oilers,Anaheim Ducks,4,3,OT
2015-11-13,Boston Bruins,Colorado Avalanche,Colorado Avalanche,Boston Bruins,3,2,REG
2015-11-13,New York Rangers,St. Louis Blues,New York Rangers,St. Louis Blues,6,3,REG
2015-11-13,Philadelphia Flyers,Washington Capitals,Washington Capitals,Philadelphia Flyers,5,2,REG
2015-11-13,Carolina Hurricanes,Minnesota Wild,Minnesota Wild,Carolina Hurricanes,3,2,OT
2015-11-13,Ottawa Senators,Vancouver Canucks,Ottawa Senators,Vancouver Canucks,3,2,REG
2015-11-13,Tampa Bay Lightning,Calgary Flames,Tampa Bay Lightning,Calgary Flames,3,1,REG
2015-11-13,Florida Panthers,Buffalo Sabres,Buffalo Sabres,Florida Panthers,3,2,REG
2015-11-13,Nashville Predators,Toronto Maple Leafs,Toronto Maple Leafs,Nashville Predators,2,1,SO
2015-11-13,Chicago Blackhawks,New Jersey Devils,New Jersey Devils,Chicago Blackhawks,3,2,REG
2015-11-13,Dallas Stars,Winnipeg Jets,Dallas Stars,Winnipeg Jets,6,3,REG
2015-11-13,Arizona Coyotes,Edmonton Oilers,Arizona Coyotes,Edmonton Oilers,4,1,REG
2015-11-13,Los Angeles Kings,New York Islanders,Los Angeles Kings,New York Islanders,2,1,REG
2015-11-14,Pittsburgh Penguins,Columbus Blue Jackets,Columbus Blue Jackets,Pittsburgh Penguins,2,1,REG
